"paper_title","author_name","is_first_author"
"A Method to Being: The Time Space Scanner","Maria Lantin",True
"A Method to Being: The Time Space Scanner","Alexandra Hass",False
"A Method to Being: The Time Space Scanner","Simon Lysander Overstall",False
"A Mixed Reality Installation to Elicit Reflexivity on Adverse Childhood Experiences","Christian Sandor",False
"A Mixed Reality Installation to Elicit Reflexivity on Adverse Childhood Experiences","Chang Liu",True
"A Mixed Reality Installation to Elicit Reflexivity on Adverse Childhood Experiences","Alvaro Cassinelli",False
"A Multi-Temporal Analysis of Archaeological Site Destruction using Landsat Satellite Data and Machine Learning, Moche Valley, Peru","Nicole D Payntar",True
"A Nest for Art and Science","Tara Knight",False
"A Nest for Art and Science","Jorge Pérez-Gallego",True
"A Nest for Art and Science","Erin Espelie",False
"A Networked Multi-channel Audio and Video Authoring and Display System for Immersive Recombinatory Media Installations","Maria Correia",False
"A Networked Multi-channel Audio and Video Authoring and Display System for Immersive Recombinatory Media Installations","Miles Thorogood",True
"A Networked Multi-channel Audio and Video Authoring and Display System for Immersive Recombinatory Media Installations","Aleksandra Dulic",False
"A Neural Network Looks at Leonardo’s(?) Salvator Mundi","Steven J. Frank",True
"A Neural Network Looks at Leonardo’s(?) Salvator Mundi","Andrea M. Frank",False
"A neuroarchitectural perspective to immersive architectural environments","Esen Gökçe Özdamar",True
"A New Creativity Agenda","Diana Ayton-Shenker",True
"A new language of truth: the role of animation in a fast changing world","Carla MacKinnon",True
"A NIME of the Times: Developing an Outward-Looking Political Agenda For This Community","Andrew P. McPherson",False
"A NIME of the Times: Developing an Outward-Looking Political Agenda For This Community","Paul Stapleton",False
"A NIME of the Times: Developing an Outward-Looking Political Agenda For This Community","Marcelo M. Wanderley",False
"A NIME of the Times: Developing an Outward-Looking Political Agenda For This Community","S. M. Astrid Bin",False
"A NIME of the Times: Developing an Outward-Looking Political Agenda For This Community","Fabio Morreale",True
"A Perfect Storm","Gregory Gold",False
"A Perfect Storm","Pedro M. Cruz",False
"A Perfect Storm","Chloe Hudson Prock",True
"A Performance Co-Created with an Autonomous Virtual System: A Symbiotic Approach","Chu-yin Chen",False
"A Performance Co-Created with an Autonomous Virtual System: A Symbiotic Approach","Hui-Ting Hong",False
"A Performance Co-Created with an Autonomous Virtual System: A Symbiotic Approach","Isadora Teles de Castro e Costa",True
"A Performed Solution to the Pythagorean Problem: The Three Bodies Project","Gregory Laughlin",False
"A Performed Solution to the Pythagorean Problem: The Three Bodies Project","Edward C. Warburton",True
"A platform for low-latency continuous keyboard sensing and sound generation","Andrew P. McPherson",False
"A platform for low-latency continuous keyboard sensing and sound generation","Giulio Moro",True
"A Playful Approach to Teaching NIME: Pedagogical Methods from a Practice-Based Perspective","Enrique Tomás",True
"A proposal of virtual museum metaverse content for the MZ generation","Yeonji Lee",False
"A proposal of virtual museum metaverse content for the MZ generation","Hyun-Kyung Lee",True
"A proposal of virtual museum metaverse content for the MZ generation","Soobin Park",False
"A psychological perspective on the sociotechnical enablers of knowledge worker digital creativity","Ilona Toth",False
"A psychological perspective on the sociotechnical enablers of knowledge worker digital creativity","Anna-Maija Nisula",True
"A psychological perspective on the sociotechnical enablers of knowledge worker digital creativity","Sanna Heinänen",False
"A psychological perspective on the sociotechnical enablers of knowledge worker digital creativity","Aino Kianto",False
"A psychological perspective on the sociotechnical enablers of knowledge worker digital creativity","Kirsimarja Blomqvist",False
"A Republic of Learning: Making for Times of Uncertainty","Rachel Jacobs",True
"A Republic of Learning: Making for Times of Uncertainty","Giles Lane",False
"A Review of Visual Strategies in Pictorials","Minna Pakanen",False
"A Review of Visual Strategies in Pictorials","Majken Kirkegaard Rasmussen",True
"A Review of Visual Strategies in Pictorials","Kasper Heiselberg",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Pedro Martín-Lerones",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Simona Tondelli",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Claudia de Luca",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Aitziber Egusquiza",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Eduardo Zalama Casanova",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Francisco Barrientos",True
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","John Martin",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Irina Pavlova",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","Jaime Gómez-García-Bermejo",False
"A Robust Monitoring Platform for Rural Cultural and Natural Heritage","David Olmedo",False
"A Scale-Based Ontology of Digital Musical Instrument Design","Andrew McPherson",False
"A Scale-Based Ontology of Digital Musical Instrument Design","Thor Magnusson",False
"A Scale-Based Ontology of Digital Musical Instrument Design","Jack Armitage",True
"A Self-Sensing Haptic Actuator for Tactile Interaction with Physical Modelling Synthesis","Matthew Davison",True
"A Self-Sensing Haptic Actuator for Tactile Interaction with Physical Modelling Synthesis","Michele Ducceschi",False
"A Self-Sensing Haptic Actuator for Tactile Interaction with Physical Modelling Synthesis","Andrew P. McPherson",False
"A Self-Sensing Haptic Actuator for Tactile Interaction with Physical Modelling Synthesis","Craig J. Webb",False
"A Sonic Exploration of Spanish Flamenco and the Whirling Dervishes of Turkey with Wearable Technology","Hedy Hurban",True
"A Strata-Based Approach to Discussing Artistic Data Sonification","Scott Wilson",False
"A Strata-Based Approach to Discussing Artistic Data Sonification","Milad Khosravi Mardakheh",False
"A streamlined workflow from Max/gen~ to modular hardware","Graham Wakefield",True
"A Study NPR Rendering with Spiral Drawing Style: Focused on the SSD(Single line Spiral Drawing)","Young ho Kim",True
"A Study NPR Rendering with Spiral Drawing Style: Focused on the SSD(Single line Spiral Drawing)","Yang kyu Lim",False
"A Study NPR Rendering with Spiral Drawing Style: Focused on the SSD(Single line Spiral Drawing)","Jin Wan Park",False
"A Study of Creative Development with an IoT-based Audiovisual System: Creative Strategies and Impacts for System Design","Sam Ferguson",False
"A Study of Creative Development with an IoT-based Audiovisual System: Creative Strategies and Impacts for System Design","Oliver Bown",False
"A Study of Creative Development with an IoT-based Audiovisual System: Creative Strategies and Impacts for System Design","Kurt Mikolajczyk",True
"A Study on Learning Advanced Skills on Co-Playable Robotic Instruments","Sang-won Leigh",True
"A Study on Learning Advanced Skills on Co-Playable Robotic Instruments","Jeonghyun (Jonna) Lee",False
"A Study on the Expansion of the Audiences’ Aesthetic Experience by Applying the Punctum in Interactive Installations","Je-ho Oh",True
"A survey on the uptake of Music AI Software","Nick Collins",False
"A survey on the uptake of Music AI Software","Shelly Knotts",True
"A Survey on the Use of 2D Touch Interfaces for Musical Expression","Wanyu Liu",False
"A Survey on the Use of 2D Touch Interfaces for Musical Expression","Frédéric Bevilacqua",False
"A Survey on the Use of 2D Touch Interfaces for Musical Expression","Diemo Schwarz",True
"A surviving camera: reorganized choreographies for the long mode of change","Marjana Krajac",True
"A Sustained Relationship with Large Instruments: a Case against the Convenient Interface","Chloë Sobek",False
"A Sustained Relationship with Large Instruments: a Case against the Convenient Interface","Iran Sanadzadeh",True
"A Sympoietic Ocean. Design research with/in the marine holobiont","Rasa Weber",True
"A systematic review of virtual brainstorming from the perspective of creativity: affordances, framework, and outlook","Vijayakumar Nanjappan",False
"A systematic review of virtual brainstorming from the perspective of creativity: affordances, framework, and outlook","Zhengya Gong",True
"A systematic review of virtual brainstorming from the perspective of creativity: affordances, framework, and outlook","Lik-Hang Lee",False
"A systematic review of virtual brainstorming from the perspective of creativity: affordances, framework, and outlook","Sohail Ahmed Soomro",False
"A systematic review of virtual brainstorming from the perspective of creativity: affordances, framework, and outlook","Georgi V. Georgiev",False
"A systemic view on sustainable consumption","Sukanta Majumdar",True
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","Robert Lester",False
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","Yu Jun Yeh",False
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","David Gochfeld",True
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","Robert Barry Fleming",False
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","Alex Coulombe",False
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","Ari Tarr",False
"A Tale of Two Productions: A Christmas Carol On Stage and in VR","Zachary Meicher-Buzzi",False
"A Taxonomy of Spectator Experience Augmentation Techniques","Florent Berthaut",False
"A Taxonomy of Spectator Experience Augmentation Techniques","Olivier Capra",True
"A Taxonomy of Spectator Experience Augmentation Techniques","Laurent Grisoni",False
"A Telepresence Stage: or how to create theatre in a pandemic – project report","Satinder Gille",False
"A Telepresence Stage: or how to create theatre in a pandemic – project report","Paul Sermon",True
"A Telepresence Stage: or how to create theatre in a pandemic – project report","Steve Dixon",False
"A Telepresence Stage: or how to create theatre in a pandemic – project report","Sita Popat Taylor",False
"A Telepresence Stage: or how to create theatre in a pandemic – project report","Randall Packer",False
"A Toolkit for the Analysis of the NIME Proceedings Archive","Stefano Fasciani",False
"A Toolkit for the Analysis of the NIME Proceedings Archive","Jackson Goode",True
"A Transdisciplinary Approach in Art: Translating Physical Trauma into a Geographic Map","Aksiniya Peycheva",True
"A virtual instrument for physics-based musical gesture: CHON","Rodney DuPlessis",True
"A Visualization Tool to Explore Interactive Sound Installations","Valérian Fraisse",True
"A Visualization Tool to Explore Interactive Sound Installations","Marcelo M. Wanderley",False
"A Visualization Tool to Explore Interactive Sound Installations","Catherine Guastavino",False
"A Walk in Nature: Exploring the Creative Potentials of a Generative Design Tool for Soft Robotic Surfaces that Foster a Connection with Nature","Keith Evan Green",False
"A Walk in Nature: Exploring the Creative Potentials of a Generative Design Tool for Soft Robotic Surfaces that Foster a Connection with Nature","Elena B Sabinson",True
"A Wearable Haptic Interface for Breath Guidance in Vocal Training","Ziyue Piao",False
"A Wearable Haptic Interface for Breath Guidance in Vocal Training","Gus Xia",False
"A Wearable Haptic Interface for Breath Guidance in Vocal Training","Yinmiao Li",True
"A year (in five months) of living dangerously: hidden intimacies in Zoom exigencies","T. Nikki Cesare Schotzko",True
"A Yellow Box with a Key Switch and a 1/4"" TRS Balanced Audio Output","Marinos Koutsomichalis",True
"A11yBoard: Making Digital Artboards Accessible to Blind and Low-Vision Users","Jacob O. Wobbrock",False
"A11yBoard: Making Digital Artboards Accessible to Blind and Low-Vision Users","Zhuohao (Jerry) Zhang",True
"AbletonOSC: A unified control API for Ableton Live","Daniel Jones",True
"About TIME: Textile Interfaces for Musical Expression","Sophie Skach",True
"About TIME: Textile Interfaces for Musical Expression","Victor Shepardson",False
"About TIME: Textile Interfaces for Musical Expression","Thor Magnusson",False
"Abstracts from the Spectra 2018 Symposium Part 1: Keynote and Materiality","Agnieszka Golda",False
"Abstracts from the Spectra 2018 Symposium Part 1: Keynote and Materiality","Jill Scott",True
"Abstracts from the Spectra 2018 Symposium Part 1: Keynote and Materiality","Daniel East",False
"Abstracts from the Spectra 2018 Symposium Part 1: Keynote and Materiality","Jo Law",False
"Abstracts from the Spectra 2018 Symposium Part 1: Keynote and Materiality","Anton Hasell",False
"Abstracts from the Spectra 2018 Symposium Part 2: Visualization","Pamela Bain",False
"Abstracts from the Spectra 2018 Symposium Part 2: Visualization","Grayson Cooke",True
