"university_name","total_score"
"Amherst College","60.0000000000000000"
"Wilfrid Laurier University","60.0000000000000000"
"Leeds Conservatoire","60.0000000000000000"
"University of Illinois at Chicago","60.0000000000000000"
"Hochschule für Künste Bremen","60.0000000000000000"
"Kobe Design University","60.0000000000000000"
"Lewis & Clark College","60.0000000000000000"
"Hamad Bin Khalifa University","60.0000000000000000"
"IPL - Escola Superior de Dança","60.0000000000000000"
"Goddard College","60.0000000000000000"
"Polish-Japanese Academy of Information Technology","60.0000000000000000"
"Royal Academy of Fine Arts of Brussels","60.0000000000000000"
"Keimyung University","60.0000000000000000"
"University of Passau","60.0000000000000000"
"Solent University, Southampton","60.0000000000000000"
"Sohag University","60.0000000000000000"
"Rhodes University","60.0000000000000000"
"Universidade do Estado de Minas Gerais","60.0000000000000000"
"Florida State University","60.0000000000000000"
"Nihon University","60.0000000000000000"
"Tomas Bata University, Zlin","60.0000000000000000"
"University of Luxembourg","60.0000000000000000"
"Tekirdağ Namık Kemal University","60.0000000000000000"
"Umeå Academy of Fine Arts","60.0000000000000000"
"Utrecht University","60.0000000000000000"
"Banaras Hindu University","60.0000000000000000"
"Mines Paris","60.0000000000000000"
"Universidad de Guadalajara","60.0000000000000000"
"The University of South Florida","60.0000000000000000"
"University of Silesia in Katowice","60.0000000000000000"
"Xi’an University of Science and Technology","60.0000000000000000"
"Israel Institute of Technology","60.0000000000000000"
"Universität Würzburg","60.0000000000000000"
"Leuphana Universität Lüneburg","60.0000000000000000"
"Academy of Fine Arts in Warsaw","60.0000000000000000"
"Piet Zwart Institute","60.0000000000000000"
"University of Tasmania","60.0000000000000000"
"Rutgers University","60.0000000000000000"
"California Institute of Integral Studies","60.0000000000000000"
"University of Seville","60.0000000000000000"
"New School for Social Research","60.0000000000000000"
"University of Maryland Baltimore County","60.0000000000000000"
"The Education University of Hong Kong","60.0000000000000000"
"Rutgers, The State University of New Jersey","60.0000000000000000"
"Universitat Internacional de Catalunya","60.0000000000000000"
"University of the West of England","60.0000000000000000"
"ArtEZ University of the Arts","60.0000000000000000"
"St. Xavier’s College for Women","60.0000000000000000"
"Medical University of Vienna","60.0000000000000000"
"University of East London","60.0000000000000000"
"National Autonomous University of Mexico","60.0000000000000000"
"Florida Gulf Coast University","60.0000000000000000"
"Hiroshima Jogakuin Senior High School","60.0000000000000000"
"Ștefan cel Mare University of Suceava","60.0000000000000000"
"Michigan State University","60.0000000000000000"
"Universitat de Lleida","60.0000000000000000"
"University of Campinas","60.0000000000000000"
"Trinity Laban Conservatoire of Music and Dance","60.0000000000000000"
"Universitat Rovira i Virgili","60.0000000000000000"
"The University of Western Ontario","60.0000000000000000"
"Guangzhou Academy of Fine Arts","60.0000000000000000"
"California State University, Long Beach","60.0000000000000000"
"Massey University","60.0000000000000000"
"Tama Art University","60.0000000000000000"
"Université Savoie Mont Blanc","60.0000000000000000"
"San Francisco State University","60.0000000000000000"
"National Chiao Tung University","60.0000000000000000"
"University of Music and Performing Arts Graz","60.0000000000000000"
"Sibelius Academy, University of the Arts Helsinki","60.00000000000000000000"
"Universitat Autònoma de Barcelona","60.0000000000000000"
"Jaipuria Institute of Management","60.0000000000000000"
"Robert Gordon University","60.0000000000000000"
"Hong Kong Metropolitan University","60.0000000000000000"
"Helwan University","60.0000000000000000"
"Tokat Gaziosmanpasa University","60.0000000000000000"
"Dunedin School of Art","60.0000000000000000"
"Universidad Autónoma Metropolitana Azcapotzalco","60.0000000000000000"
"Charles University in Prague","60.0000000000000000"
"Royal Academy of Music","60.0000000000000000"
"University of Gothenburg","60.0000000000000000"
"Ozyegin University","60.0000000000000000"
"Ulster University","60.0000000000000000"
"University of Kassel","60.0000000000000000"
"University of Pittsburgh","60.0000000000000000"
"North Carolina State University","60.0000000000000000"
"CODE University of Applied Sciences","60.0000000000000000"
"National University of Galway","60.0000000000000000"
"Konya Food and Agriculture University","60.0000000000000000"
"Jagiellonian University","60.0000000000000000"
"Fukuoka Jogakuin University","60.0000000000000000"
"Swansea College of Art, University of Wales Trinity Saint David","60.0000000000000000"
"Universidade de Évora","60.00000000000000000000"
"Kwantlen Polytechnic University","60.0000000000000000"
"University of the Balearic Islands","60.0000000000000000"
"RISEBA University","60.0000000000000000"
"Østfold University College","60.0000000000000000"
"Queen Margaret University","60.0000000000000000"
"University of Michigan-Dearborn","60.0000000000000000"
"National Technical University of Athens","60.0000000000000000"
"Pacific Northwest College of Art","60.0000000000000000"
"University of Gloucestershire","60.0000000000000000"
"Erasmus University Rotterdam","60.0000000000000000"
"Ball State University","60.0000000000000000"
"Hampshire College","60.0000000000000000"
"Kyung Hee University","60.0000000000000000"
"Universidad de Valparaíso","60.0000000000000000"
"California State University San Marcos","60.0000000000000000"
"University of Maryland, College Park","60.0000000000000000"
"UPV/EHU University of the Basque Country","60.0000000000000000"
"Shih Hsin University","60.0000000000000000"
"Lusófona University","60.0000000000000000"
"NingboTech University","60.0000000000000000"
"FHNW Academy of Art and Design","60.0000000000000000"
"NOVA School of Social Sciences and Humanities","60.0000000000000000"
"Musashino Art University","60.0000000000000000"
"Bard College","60.0000000000000000"
"Ernest G. Welch School of Art & Design","60.0000000000000000"
"Durham University","60.0000000000000000"
"Universitas Stikubank","60.0000000000000000"
"University of Design Schwäbisch Gmünd","60.0000000000000000"
"Georgia State University","60.0000000000000000"
"Appalachian State University","60.0000000000000000"
"Delft University of Technology","58.9496398537895119"
"Leibniz University Hannover","58.46617209633034710"
"Université de Nîmes","58.4661720963303470"
"Fudan University","57.6050168377389008"
"IT University","55.3605369642813855"
"Rose Bruford College","54.8174038512465761"
"Universität der Künste Berlin","54.4851660775313907"
"Brighton and Sussex Medical School","52.3023415476180857"
"University of the Arts","52.3023415476180857"
"University of the Arts in Belgrade","52.3023415476180857"
"University of Barcelona","51.90702464285425700"
"Ecole nationale Supérieure d'Informatique","51.5034250313582260"
"University of São Paulo","50.0000000000000000"
"School of the Art Institute of Chicago","50.0000000000000000"
"University of the West of England Bristol","49.7302624316777503"
"University of Lausanne","48.9774480642202313"
