"author_name","university_name"
"Ankita Patel","Carnegie Mellon University"
"David Gordon","Carnegie Mellon University"
"Vít Růžička","Carnegie Mellon University"
"Tong Bai","Carnegie Mellon University"
"Syuan-Cheng Sun","Carnegie Mellon University"
"Zheng Jiang","Carnegie Mellon University"
"Lingdong Huang","Carnegie Mellon University"
"Barnabas Poczos","Carnegie Mellon University"
"Manzil Zaheer","Carnegie Mellon University"
"Lingyao Zhang","Carnegie Mellon University"
"Chun-Liang Li","Carnegie Mellon University"
"Austin Dill","Carnegie Mellon University"
"Songwei Ge","Carnegie Mellon University"
"Qiuyu Lu","Carnegie Mellon University"
"Eunsu Kang","Carnegie Mellon University"
"David Lindlbauer","Carnegie Mellon University"
"Ardavan Bidgoli","Carnegie Mellon University"
"Erik Harpstead","Carnegie Mellon University"
"Yuyu Lin","Carnegie Mellon University"
"Abena Boadi-Agyemang","Carnegie Mellon University"
"Violet Yinuo Han","Carnegie Mellon University"
"Aniket Kittur","Carnegie Mellon University"
"Semina Yi","Carnegie Mellon University"
"Daragh Byrne","Carnegie Mellon University"
"Molly Steenson","Carnegie Mellon University"
"Cathryn Ploehn","Carnegie Mellon University"
"Tongshuang Wu","Carnegie Mellon University"
"Hyeonsu Kang","Carnegie Mellon University"
"Yuran Ding","Carnegie Mellon University"
"Jessica Hammer","Carnegie Mellon University"
"Shobhit Aggarwal","Carnegie Mellon University"
"Pedro Martín-Lerones","CARTIF Centro Tecnológico"
"David Olmedo","CARTIF Centro Tecnológico"
"Francisco Barrientos","CARTIF Centro Tecnológico"
"Caspian Robertson","Caspian Gardens"
"Leo Wanner","Catalan Institute for Research and Advanced Studies"
"Luis Garcia-Lara","Catholic University of Temuco"
"Ge Wang","CCRMA, Stanford University"
"Romain Michon","CCRMA, Stanford University"
"Eito Murakami","CCRMA, Stanford University"
"Ricardo Dal Farra","CEIARTE-UNTREF"
"Yannick Hofmann","Center for Art and Media Karlsruhe"
"Nadja Lipsyc","Center for Excellence in Film and Interactive Media Arts"
"Benjamin Skepper","Center for Interdisciplinary Research of Musical Creativity, Moscow State Conservatory"
"Zhijie Qiu","Central Academy of Fine Arts"
"Baoyang Chen","Central Academy of Fine Arts"
"Yixuan Zhang","Central Academy of Fine Arts"
"Dr. Wai Ping Chan","Central Academy of Fine Arts"
"Zhaowen Wang","Central Conservatory of Music"
"Yue Yang","Central Conservatory of Music"
"Zijin Li","Central Conservatory of Music"
"Flóra Barkóczi","Central European Research Institute for Art History"
"Betti Marenko","Central Saint Martins, University of the Arts London"
"Aliki Thomas","Centre de recherche interdisciplinaire en Réadaptation (CRIR)"
"Jean-Thomas Martelli","Centre de Sciences Humaines"
"Eduardo Soriano Goñi","Centre d’arts Santa Mònica"
"Mohamed El Abdi","Centre d’Imagerie Scintigraphique de Blida"
"Jose-Carlos Mariategui","Centre for Art and Communication"
"Martin Doerr","Centre for Cultural Informatics and Information Systems Laboratory, FORTH-ICS"
"Pavlos Fafalios","Centre for Cultural Informatics and Information Systems Laboratory, FORTH-ICS"
"Athina Kritsotaki","Centre for Cultural Informatics and Information Systems Laboratory, FORTH-ICS"
"Alain Renaud","Centre for Digital Entertainment, Geneva"
"Nefeli Georgakopoulou","Centre for Research and Technology Hellas"
"Makrina Viola Kosti","Centre for Research and Technology Hellas"
"Sotiris Diplaris","Centre for Research and Technology Hellas"
"Ioannis Kompatsiaris","Centre for Research and Technology Hellas"
"Stefanos Vrochidis","Centre for Research and Technology Hellas"
"Mônica da Consolação Machado","Centro Universitário Newton Paiva"
"Adrien Syrotnik","CESI, Reims"
"Mafalda Gamboa","Chalmers University of Technology"
"Lalit Aditya Kaushal","Chandigarh University"
"Nipun Kalia","Chandigarh University"
"Seungcheol Austin Lee","Chapman University"
"Vaia Doudaki","Charles University"
"Kristýna Kopřivová","Charles University"
"Nico Carpentier","Charles University"
